Cve. Materia,Materia,Clave de Grupo,Tipo Grupo,Modalidad,Docente,Campus,Salón,Horario
DIS-1417-00,FOTOGRAFIA I,D,Teoria,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,Lunes 8:00-9:00
DIS-1417-00,FOTOGRAFIA I,D-L1,Laboratorio,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,"Lunes 9:00-10:00, Miércoles 8:00-10:00"
DIS-1417-00,FOTOGRAFIA I,E,Teoria,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,Martes 10:00-11:00
DIS-1417-00,FOTOGRAFIA I,E-L1,Laboratorio,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,"Martes 11:00-12:00, Jueves 10:00-12:00"
DIS-1418-00,LABORATORIO DE ERGONOMIA PARA EL DISEÑO GRAFICO,C,Teoria,Presencial,PEREZ ENRIQUEZ ALEJANDRA,CU,107-B-101-h,Lunes 10:00-11:00
DIS-1418-00,LABORATORIO DE ERGONOMIA PARA EL DISEÑO GRAFICO,C-L1,Laboratorio,Presencial,PEREZ ENRIQUEZ ALEJANDRA,CU,107-B-101-h,"Lunes 11:00-12:00, Miércoles 10:00-12:00"
DIS-1419-00,INTRODUCCION A LA MERCADOTECNIA,C,Teoria,Presencial,VAZQUEZ BERNAL BERENICE IVETTE,CU,107-B-101-g,Martes 12:00-13:00
DIS-1419-00,INTRODUCCION A LA MERCADOTECNIA,C-L1,Laboratorio,Presencial,VAZQUEZ BERNAL BERENICE IVETTE,CU,107-B-101-g,"Martes 13:00-14:00, Jueves 12:00-14:00"
DIS-1419-00,INTRODUCCION A LA MERCADOTECNIA,D,Teoria,Presencial,VAZQUEZ BERNAL BERENICE IVETTE,CU,107-B-101-f,Martes 14:00-15:00
DIS-1419-00,INTRODUCCION A LA MERCADOTECNIA,D-L1,Laboratorio,Presencial,VAZQUEZ BERNAL BERENICE IVETTE,CU,107-B-101-f,"Martes 15:00-16:00, Jueves 14:00-16:00"
DIS-1419-00,INTRODUCCION A LA MERCADOTECNIA,E,Teoria,Presencial,... ... ...,CU,107-B-115,Martes 8:00-9:00
